"dist_name","class","implemented","varying_limits","l_limit","u_limit","type"
"ZANBI","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZAP","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZAPIG","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZASICHEL","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZAZIPF","gamlss",FALSE,NA,NA,NA,"Discrete"
"zetaP","gamlss",FALSE,NA,NA,NA,NA
"ZIBB","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZIBI","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZIBNB","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZINBF","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZINBI","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZIP","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZIP2","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZIPF","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZIPIG","gamlss",FALSE,NA,NA,NA,"Discrete"
"ZISICHEL","gamlss",FALSE,NA,NA,NA,"Discrete"
"beta","bamlss",TRUE,TRUE,NA,NA,NA
"binomial","bamlss",TRUE,TRUE,NA,NA,NA
"cnorm","bamlss",TRUE,TRUE,NA,NA,NA
"cox","bamlss",TRUE,TRUE,NA,NA,NA
"gamma","bamlss",TRUE,TRUE,NA,NA,NA
"gaussian","bamlss",TRUE,TRUE,NA,NA,NA
"Gaussian","bamlss",TRUE,TRUE,NA,NA,NA
"gaussian2","bamlss",TRUE,TRUE,NA,NA,NA
"glogis","bamlss",TRUE,TRUE,NA,NA,NA
"gpareto","bamlss",TRUE,TRUE,NA,NA,NA
"jm","bamlss",TRUE,TRUE,NA,NA,NA
"multinomial","bamlss",TRUE,TRUE,NA,NA,NA
"mvnorm","bamlss",TRUE,TRUE,NA,NA,NA
"poisson","bamlss",TRUE,TRUE,NA,NA,NA
"quant","bamlss",TRUE,TRUE,NA,NA,NA
